STATISTIC,STATISTIC Label,TLIST(A1),Year,Town,C02172V02618,Type of Vehicle Registration,C01841V02268,Type of Fuel,UNIT,VALUE
TEA17,New Vehicles Licensed for the First Time,2015,2015,Lucan,-,All Vehicles,6,Electric,Number,497
TEA17,New Vehicles Licensed for the First Time,2015,2015,Lucan,011,New Private Cars,6,Electric,Number,476
TEA17,New Vehicles Licensed for the First Time,2015,2015,Clondalkin,012,New Goods Vehicles,6,Electric,Number,12
TEA17,New Vehicles Licensed for the First Time,2015,2015,Clondalkin,013,New Tractors,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2015,2015,Clondalkin,014,New Motor Cycles,6,Electric,Number,5
TEA17,New Vehicles Licensed for the First Time,2015,2015,Lucan,015,New Exempt Vehicles,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2015,2015,Lucan,01601,New Public Service Vehicles,6,Electric,Number,2
TEA17,New Vehicles Licensed for the First Time,2015,2015,Lucan,016011,New Small Public Service Vehicles,6,Electric,Number,2
TEA17,New Vehicles Licensed for the First Time,2015,2015,Lucan,016012,New Large Public Service Vehicles,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2015,2015,Lucan,01604,New Machines or Contrivances,6,Electric,Number,2
TEA17,New Vehicles Licensed for the First Time,2015,2015,Lucan,01605,Other Classes New Other Vehicles,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,Clondalkin,-,All Vehicles,6,Electric,Number,411
TEA17,New Vehicles Licensed for the First Time,2016,2016,Clondalkin,011,New Private Cars,6,Electric,Number,392
TEA17,New Vehicles Licensed for the First Time,2016,2016,Clondalkin,012,New Goods Vehicles,6,Electric,Number,10
TEA17,New Vehicles Licensed for the First Time,2016,2016,Palmerstown Fonthill,013,New Tractors,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,Palmerstown Fonthill,014,New Motor Cycles,6,Electric,Number,5
TEA17,New Vehicles Licensed for the First Time,2016,2016,Rathfarnham_Templeogue,015,New Exempt Vehicles,6,Electric,Number,3
TEA17,New Vehicles Licensed for the First Time,2016,2016,Rathfarnham_Templeogue,01601,New Public Service Vehicles,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,Rathfarnham_Templeogue,016011,New Small Public Service Vehicles,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,Rathfarnham_Templeogue,016012,New Large Public Service Vehicles,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2016,2016,Tallaght Central,01604,New Machines or Contrivances,6,Electric,Number,1
TEA17,New Vehicles Licensed for the First Time,2016,2016,Tallaght Central,01605,Other Classes New Other Vehicles,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,Tallaght South,-,All Vehicles,6,Electric,Number,664
TEA17,New Vehicles Licensed for the First Time,2017,2017,Tallaght South,011,New Private Cars,6,Electric,Number,623
TEA17,New Vehicles Licensed for the First Time,2017,2017,Jobstown,012,New Goods Vehicles,6,Electric,Number,32
TEA17,New Vehicles Licensed for the First Time,2017,2017,Rathfarnham -Templeogue,013,New Tractors,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,Rathfarnham -Templeogue,014,New Motor Cycles,6,Electric,Number,4
TEA17,New Vehicles Licensed for the First Time,2017,2017,Rathfarnham -Templeogue,015,New Exempt Vehicles,6,Electric,Number,1
TEA17,New Vehicles Licensed for the First Time,2017,2017,Rathfarnham -Templeogue,01601,New Public Service Vehicles,6,Electric,Number,2
TEA17,New Vehicles Licensed for the First Time,2017,2017,Rathfarnham -Templeogue,016011,New Small Public Service Vehicles,6,Electric,Number,2
TEA17,New Vehicles Licensed for the First Time,2017,2017,Rathfarnham -Templeogue,016012,New Large Public Service Vehicles,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2017,2017,Firhouse-Bohernabreena,01604,New Machines or Contrivances,6,Electric,Number,2
TEA17,New Vehicles Licensed for the First Time,2017,2017,Firhouse-Bohernabreena,01605,Other Classes New Other Vehicles,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,Clondalkin,-,All Vehicles,6,Electric,Number,1328
TEA17,New Vehicles Licensed for the First Time,2018,2018,Clondalkin,011,New Private Cars,6,Electric,Number,1222
TEA17,New Vehicles Licensed for the First Time,2018,2018,Clondalkin,012,New Goods Vehicles,6,Electric,Number,67
TEA17,New Vehicles Licensed for the First Time,2018,2018,Clondalkin,013,New Tractors,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2018,2018,Clondalkin,014,New Motor Cycles,6,Electric,Number,7
TEA17,New Vehicles Licensed for the First Time,2018,2018,Clondalkin,015,New Exempt Vehicles,6,Electric,Number,11
