"STATISTIC","Statistic Label","TLIST(A1)","Census Year","C04167V04938","Electoral Divisions","UNIT","VALUE"
"F1011C01","Population - 2022","2022","2022","2ae19629-1836-13a3-e055-000000000001","Agha, Carlow","Number","419"
"F1011C01","Population - 2022","2022","2022","2ae19629-1837-13a3-e055-000000000001","Ballinacarrig, Carlow","Number","1122"
"F1011C01","Population - 2022","2022","2022","2ae19629-1840-13a3-e055-000000000001","Ballintemple, Carlow","Number","599"
"F1011C01","Population - 2022","2022","2022","2ae19629-1841-13a3-e055-000000000001","Ballon, Carlow","Number","788"
"F1011C01","Population - 2022","2022","2022","2ae19629-1842-13a3-e055-000000000001","Ballyellin, Carlow","Number","451"
"F1011C01","Population - 2022","2022","2022","2ae19629-1843-13a3-e055-000000000001","Ballymoon, Carlow","Number","351"
"F1011C01","Population - 2022","2022","2022","2ae19629-184d-13a3-e055-000000000001","Ballymurphy, Carlow","Number","282"
"F1011C01","Population - 2022","2022","2022","2ae19629-184e-13a3-e055-000000000001","Borris, Carlow","Number","1084"
"F1011C01","Population - 2022","2022","2022","2ae19629-184f-13a3-e055-000000000001","Burton Hall, Carlow","Number","529"
"F1011C01","Population - 2022","2022","2022","2ae19629-1857-13a3-e055-000000000001","Carlow Rural, Carlow","Number","16203"
"F1011C01","Population - 2022","2022","2022","2ae19629-1858-13a3-e055-000000000001","Carlow Urban, Carlow","Number","5049"
"F1011C01","Population - 2022","2022","2022","2ae19629-1859-13a3-e055-000000000001","Clogrenan, Carlow","Number","1138"
"F1011C01","Population - 2022","2022","2022","2ae19629-185a-13a3-e055-000000000001","Clonegall, Carlow","Number","1105"
"F1011C01","Population - 2022","2022","2022","2ae19629-1864-13a3-e055-000000000001","Clonmore, Carlow","Number","548"
"F1011C01","Population - 2022","2022","2022","2ae19629-1865-13a3-e055-000000000001","Coonogue, Carlow","Number","211"
"F1011C01","Population - 2022","2022","2022","2ae19629-1866-13a3-e055-000000000001","Corries, Carlow","Number","560"
"F1011C01","Population - 2022","2022","2022","2ae19629-1872-13a3-e055-000000000001","Cranemore, Carlow","Number","1218"
"F1011C01","Population - 2022","2022","2022","2ae19629-1873-13a3-e055-000000000001","Fennagh, Carlow","Number","857"
"F1011C01","Population - 2022","2022","2022","2ae19629-1874-13a3-e055-000000000001","Garryhill, Carlow","Number","648"
"F1011C01","Population - 2022","2022","2022","2ae19629-187d-13a3-e055-000000000001","Glynn, Carlow","Number","395"
"F1011C01","Population - 2022","2022","2022","2ae19629-1a59-13a3-e055-000000000001","Graigue Urban, Carlow","Number","1655"
"F1011C01","Population - 2022","2022","2022","2ae19629-187e-13a3-e055-000000000001","Grangeford, Carlow","Number","589"
"F1011C01","Population - 2022","2022","2022","2ae19629-187f-13a3-e055-000000000001","Hacketstown, Carlow","Number","1226"
"F1011C01","Population - 2022","2022","2022","2ae19629-1887-13a3-e055-000000000001","Haroldstown, Carlow","Number","314"
"F1011C01","Population - 2022","2022","2022","2ae19629-1888-13a3-e055-000000000001","Johnstown, Carlow","Number","610"
"F1011C01","Population - 2022","2022","2022","2ae19629-1889-13a3-e055-000000000001","Kellistown, Carlow","Number","982"
"F1011C01","Population - 2022","2022","2022","2ae19629-188a-13a3-e055-000000000001","Kilbride, Carlow","Number","458"
"F1011C01","Population - 2022","2022","2022","2ae19629-1895-13a3-e055-000000000001","Killedmond, Carlow","Number","458"
"F1011C01","Population - 2022","2022","2022","2ae19629-1896-13a3-e055-000000000001","Killerrig, Carlow","Number","395"
"F1011C01","Population - 2022","2022","2022","2ae19629-1897-13a3-e055-000000000001","Kineagh, Carlow","Number","371"
"F1011C01","Population - 2022","2022","2022","2ae19629-18a0-13a3-e055-000000000001","Kyle, Carlow","Number","360"
"F1011C01","Population - 2022","2022","2022","2ae19629-18a1-13a3-e055-000000000001","Leighlinbridge, Carlow","Number","1679"
"F1011C01","Population - 2022","2022","2022","2ae19629-18a2-13a3-e055-000000000001","Marley, Carlow","Number","433"
"F1011C01","Population - 2022","2022","2022","2ae19629-18ab-13a3-e055-000000000001","Muinebeag Rural, Carlow","Number","719"
"F1011C01","Population - 2022","2022","2022","2ae19629-18ac-13a3-e055-000000000001","Muinebeag Urban, Carlow","Number","2945"
"F1011C01","Population - 2022","2022","2022","2ae19629-18ad-13a3-e055-000000000001","Myshall, Carlow","Number","603"
"F1011C01","Population - 2022","2022","2022","2ae19629-18ae-13a3-e055-000000000001","Nurney, Carlow","Number","893"
"F1011C01","Population - 2022","2022","2022","2ae19629-18b7-13a3-e055-000000000001","Oldleighlin, Carlow","Number","606"
"F1011C01","Population - 2022","2022","2022","2ae19629-18b8-13a3-e055-000000000001","Rahill, Carlow","Number","792"
